text,telicity,punctual/durative
A boy is standing on his tippy toes.,Atelic,Durative
A person is jumping across some water on a ski.,Atelic,Punctual
A person is pushing a stroller across the street with a dog.,Atelic,Punctual
A girl is riding a skateboard on a wooden deck.,Atelic,Durative
The small child is playing in front of the refrigerator.,Atelic,Durative
An older man with a shirt and tie is smiling for the camera man.,Atelic,Durative
A man is standing by a fence holding a tennis racket,Atelic,Durative
A man is standing and making swift arm movements with a tie in his hands.,Atelic,Durative
A man in a black tie is standing at a podium.,Atelic,Durative
A baby giraffe and its mother are standing in a field.,Atelic,Durative
A man is sitting at his messy work desk.,Atelic,Durative
A dog is sitting on a desk with a computer.,Atelic,Durative
A bird is standing on a tree branch.,Atelic,Durative
A woman is standing in front of her motorcycle,Atelic,Durative
The herd of elephants is standing on middy earth,Atelic,Durative
A tennis player at a match is getting ready to hit the ball.,Atelic,Durative
A young boy wearing brown is holding a tree in a park.,Atelic,Durative
The man is holding an extremely large pizza with a lot of stuff on it.,Atelic,Durative
A cat is sitting on a black umbrella.,Atelic,Durative
a blonde dog is laying on the tile,Atelic,Durative
A cat is sleeping on the red leather couch.,Atelic,Durative
A little boy stands looking away from the camera holding on to a red suitcase.,Atelic,Durative
A young man is holding a pizza on a cooking sheet.,Atelic,Durative
The man is getting ready to surf on the beach.,Atelic,Durative
The man is standing near many stacks of chairs.,Atelic,Durative
A bear is standing in the woods with grass in its mouth.,Atelic,Durative
An animal is walking around in a fenced area.,Atelic,Durative
A man is jumping on a skateboard over a fire hydrant.,Atelic,Punctual
A man is standing and looking away from his refrigerator.,Atelic,Durative
A cat is sitting in a bowl on a table.,Atelic,Durative
The young man is playing a game of baseball in the field.,Atelic,Durative
A large black cat is sitting inside of a suitcase.,Atelic,Durative
A man in a white shirt is playing tennis with a red racquet.,Atelic,Durative
A woman is standing behind a row of farm animals.,Atelic,Durative
a man is holding a frisbee in his hand,Atelic,Durative
This lady is laying in bed and reading a book.,Atelic,Durative
"The man is posing for a picture with a tie, sunglasses, and a hat on.",Atelic,Durative
The elephant with tusks is walking through the dirt trail.,Atelic,Durative
A dog is holding a frisbee in its mouth.,Atelic,Durative
"Two people on a horse, one is standing on the shoulders of the other",Atelic,Durative
A woman is holding Wii controllers in her hands.,Atelic,Durative
A white cat is laying by some tennis shoes.,Atelic,Durative
A dog with a vest is riding a skateboard.,Atelic,Durative
A cat is looking at a paper while lying on the rug.,Atelic,Durative
A bird is eating from a small sushi dish.,Atelic,Durative
A man is riding his surfboard on a high water wave.,Atelic,Durative
An old woman is looking at her 95th birthday cake.,Atelic,Durative
An airplane is taking off from the airport.,Atelic,Punctual
A lady in a hat is standing in front of an elephant.,Atelic,Durative
The train is taking a long journey across the country side.,Atelic,Durative
A cow is standing at the edge of the ocean.,Atelic,Durative
A man is sitting on a street curb looking at his cell phone.,Atelic,Durative
lady in the jacket is sitting on the concrete bench smiling.,Atelic,Durative
A bird is standing on the small branch outside.,Atelic,Durative
a zebra is standing out in a field,Atelic,Durative
A giraffe is walking around in an enclosure.,Atelic,Durative
a black dog is sitting in the back of a car,Atelic,Durative
A dirty train is riding on the tracks,Atelic,Durative
The woman is reading a book in the library.,Atelic,Durative
An androgynous person with long hair and glasses is wearing a maroon dress over a business shirt and tie.,Atelic,Durative
A young boy is standing on the edge of a pond.,Atelic,Durative
The woman is riding her bike in the street.,Atelic,Durative
A lone giraffe is walking through a grassy area.,Atelic,Durative
A man jumping with a skateboard takes some real skills.,Atelic,Punctual
A surfer is walking toward the water with board in tow with the horizon in the background.,Atelic,Durative
The grey truck is driving by the McDonald arch on a light up street.,Atelic,Durative
A train with engine is standing on the railway station.,Atelic,Durative
a girl is looking at her cellphone and a blond boy,Atelic,Durative
The man is playing tennis on the tennis court.,Atelic,Durative
A black cat is sitting erectly on a couch.,Atelic,Durative
a woman is jumping on a white bed,Atelic,Punctual
A man is holding a wine goblet with wine.,Atelic,Durative
A man is standing at the sink looking,Atelic,Durative
a man is standing on a skateboard on a street,Atelic,Durative
A girl is playing with water near a playground.,Atelic,Durative
A man on a field is holding a baseball bat.,Atelic,Durative
A laptop is sitting on a table with equipment,Atelic,Durative
A pizza is sitting on a book and cooling rack.,Atelic,Durative
A woman is riding a scooter on the street.,Atelic,Durative
A clock structure is standing in a town.,Atelic,Durative
A little girl is laying in a white bed.,Atelic,Durative
A man is standing with a skateboard in his hand.,Atelic,Durative
A young male surfer is laying on his surfboard riding a wave,Atelic,Durative
The person is getting ready to ski outside in the snow.,Atelic,Durative
A dog is sleeping in a bed with Simpsons sheets.,Atelic,Durative
